word,meaning_zh,pos,phonetic_uk,phonetic_us,synonyms,rel_words,exam_level
bacterium,细菌,n,bæk'tɪərɪəm,bæk'tɪrɪəm,microbe | bacilus,bacteriological | bacteriologic | bacteriostatic | bacteroidal | bacteriology | bacteriolysis | bacteriostasis,CET6
germ,细菌，病原菌；幼芽,"n, vi",dʒɜːm,dʒɝm,seed | plantule | burgeon | spring up,germy,CET6
systematically,系统地，有规则地,adv,",sɪstə'mætɪklɪ",",sɪstə'mætɪkl",organically | methodically,systematic | systemic | systematized | system | systematization | systematics | systematism | systematist | systematizer | systematized | systematize | systemize | systematise,CET6
spectrum,系列，范围；波谱,n,'spektrəm,'spɛktrəm,extent | boundary | region | territory | area,spectroscopic | spectrographic | spectrometric | spectroscopy | spectrometry,CET6
lace,系带，用带子束紧,n,leɪs,les,tie | gymp,laced | lacy | lacelike | lacing | lacer | laced | lacing,CET6
tape,系，捆,"n, vt",teɪp,tep,magnetictape | mylar | sound recording | make a record,taping | taped | taping | taped,CET6
drama,戏剧性事件；戏剧性,,,,,,CET6
theatre,剧场，戏院,n,'θɪətə,ˈθiətər,drama | stage | cinema,theatrical | theatrically | theater | theatricality,CET6
comedy,喜剧；喜剧场面,,'kɒmɪdɪ,'kɑmədi,,,CET6
assault,袭击,"n, vi, vt",ə'sɔːlt; ə'sɒlt,ə'sɔlt,attack | attempt | push | hit | come at | descend on | set at,assaultive | assaulter,CET6
usage,习惯用法,n,'juːsɪdʒ,'jusɪdʒ,employment | utilization | tradition | use | convention,usable | useful | used | useless | useable | usefully | uselessly | use | using | user | usefulness | usability | usableness | uselessness | used | using | use | use,CET6
quench,熄灭，扑灭；压制,"vi, vt",kwen(t)ʃ,kwɛntʃ,conclude | go out | die | cool | go out,quenchless | quenching | quenching,CET6
extinguish,熄灭，扑灭；消灭,vt,ɪk'stɪŋgwɪʃ; ek-,ɪk'stɪŋɡwɪʃ,silence | go out,extinct | extinguishable | extinguisher | extinct,CET6
absorption,吸收；专注,n,əb'zɔːpʃ(ə)n; -'sɔːp-,"əbˈsɔrpʃən, -ˈzɔrp-",merger | assimilation,absorbed | absorbent | absorbing | absorptive | absorbable | absorbefacient | absorbent | absorber | absorbency | absorbefacient | absorptance | absorptivity | absorbed | absorbing | absorb,CET6
intake,吸入；输入能量,n,'ɪnteɪk,'ɪn'tek,ventilation opening,,CET6
physically,身体上；体格上,,'fɪzɪkəllɪ,'fɪzɪkli,,physical | physical | physicality,CET6
substantial,大而坚固的,"adj, n",səb'stænʃ(ə)l,səbˈstænʃəl,massive | extensive | macro | much | volume | essence | entity | principle | texture | interior,substantive | substantiated | substantially | substance | substantive | substantiality | substantiated,CET6
body,物体,n,'bɒdɪ,'bɑdi,person | lots of | wealth | ocean | sea | organization | community,bodily | bodied | bodiless | bodily | bod | bodied,CET6
luncheon,午宴，午餐，便宴,,'lʌn(t)ʃ(ə)n,'lʌntʃən,,,CET6
ignorance,无知，无学，愚昧,n,'ɪgn(ə)r(ə)ns,'ɪɡnərəns,darkness | unwisdom,ignorant | ignored | ignorantly | ignoramus | ignored | ignore,CET6
insignificant,无意义的；低微的,adj,ɪnsɪg'nɪfɪk(ə)nt,",ɪnsɪɡ'nɪfɪkənt",indifferent | small-beer,,CET6
doubtless,无疑地；很可能,"adj, adv",'daʊtlɪs,'daʊtləs,easily | no doubt | probably | clearly | possibly | established | fixed | defined | certain | positive,doubtful | doubting | doubtfully | doubt | doubter | doubt,CET6
indefinite,无限期的,adj,ɪn'defɪnɪt,ɪn'dɛfɪnət,fuzzy | huge | dark | infinite | unsure,indefinable | indefinitely | indefiniteness,CET6
infinitely,无限地，无边地,adv,'ɪnfɪnɪtlɪ,'ɪnfɪnətli,extremely | most | rare,infinite | infinitesimal | infinite | infinity | infinitesimal | infinitude | infiniteness,CET6
unlimited,无限的；不定的,adj,ʌn'lɪmɪtɪd,ʌn'lɪmɪtɪd,limitless | interminate,,CET6
infinite,无限；无穷（大）,"adj, n",'ɪnfɪnət,'ɪnfɪnət,huge | tremendous | thousand | million | boundless | Mugen | immenseness,infinitive | infinitesimal | infinitely | infinity | infinitive | infinitesimal | infinitude | infiniteness,CET6
fearless,无畏的，大胆的,adj,'fɪəlɪs,'fɪrləs,bold | audacious,fearsome | fearlessly | fear | fearlessness | fear | fear,CET6
innumerable,无数的，数不清的,adj,ɪ'njuːm(ə)rəb(ə)l,ɪ'nʊmərəbl,thousand | countless | million | infinite,,CET6
inorganic,无生物的；无机的,adj,ɪnɔː'gænɪk,'ɪnɔr'gænɪk,anorganic | unorganic,,CET6
ruthless,无情的，冷酷的,adj,'ruːθlɪs,'rʊθləs,cruel | relentless,ruthlessly | ruthlessness,CET6
incapable,无能力的；无资格的,adj,ɪn'keɪpəb(ə)l,ɪn'kepəbl,unable | powerless,incapacitated | incapacity | incapability | incapacitated | incapacitate,CET6
unique,无可匹敌的；极好的,adj,juː'niːk,jʊ'nik,distinct | individual | one | sole | picturesque,uniquely | uniqueness,CET6
faultless,无过失的；无缺点的,adj,'fɔːltlɪs; 'fɒlt-,'fɔltləs,perfect | ideal | full | indefective,faulty | faultily | faultlessly | fault | faultiness | fault | fault,CET6
foreign,外国的，国外的,adj,'fɒrɪn,'fɔrən,external | diplomatic,foreigner | foreignness,CET6
nought,无，零,n,nɔːt,nɔt,absence | nothing,,CET6
filth,污秽，污物；淫猥；淫猥,n,fɪlθ,fɪlθ,griminess | squalidity,filthy | filthily | filthiness,CET6
snail,蜗牛；行动缓慢的人,n,sneɪl,snel,pachyderm | schnook,,CET6
hum,嗡嗡声,"int, n",hʌm,hʌm,groaning | zoom | uh-uh | um,humming | humming | hummer | humming,CET6
compliment,致意，问候,"n, vt",'kɒmplɪm(ə)nt,ˈkɑːmplɪmənt,praise | regard | speak well of | pay a tribute to,complimentary,CET6
question,问，询问，讯问,"n, vi, vt",'kwestʃ(ə)n,'kwɛstʃən,issue | doubt | query | dispute | wonder | query | wonder | query,questionable | questionably | questioningly | questioning | questioner | questioning,CET6
literal,文字（上）的；字面的,adj,'lɪt(ə)r(ə)l,'lɪtərəl,written | word-for-word,literally | literatim | literalism | literality | literalness | literalize,CET6
illiterate,文盲的,"adj, n",ɪ'lɪt(ə)rət,ɪ'lɪtərət,letterless | unlettered | unschooled | analphabetic,illiteracy,CET6
stationery,信笺，信纸；文具,n,'steɪʃ(ə)n(ə)rɪ,'steʃənɛri,writing materials | letter pad,stationer,CET6
plague,瘟疫；鼠疫（尤指腺鼠疫）,"n, vt",pleɪg,pleɡ,disaster | trouble | headache | harry | worry | trouble | tear | devil,plaguy | plaguily | plaguy,CET6
softness,温和，柔和；软弱,n,,'sɔftnɪs,femininity | gentilesse,soft | softish | soft | softly | soft | softening | softening | soften | soften,CET6
graze,喂草；放牧（牲畜）,"n, vi, vt",greɪz,ɡrez,grass | feed | raw | range | brush burn | pasturage,grazed | grazing | grazier | grazing | grazed,CET6
locality,位置，地点，发生地,n,lə(ʊ)'kælɪtɪ,lo'kæləti,situation | site | spot | lie | where,local | localized | localised | locative | locally | local | location | locale | localization | locating | localisation | localism | locative | localizer | localized | localised | locating | locate | localize | locate | localize | localise,CET6
situated,位于…的,,'sɪtjʊeɪtɪd,'sɪtʃuetɪd,,situate | sit | sit | situate,CET6
bachelor,未婚男子；学士,,'bætʃələ,'bætʃəlɚ,,baccalaureate | bachelorhood,CET6
unpaid,未付的；无偿的,adj,ʌn'peɪd,",ʌn'ped",unremunerative | uncompensated,,CET6
stern,艉，船尾；臀部,"adj, n",stɜːn,stɝn,terminal | bottom | extreme | severe | committed | firm | confirmed | tight,sternly | sternness,CET6
commission,委托，委任；委托状,"n, vt",kə'mɪʃ(ə)n,kə'mɪʃən,council | soviet | brokerage | authorization | depute | authorise,committed | commissioned | commitment | commissioner | committed | commissioned | commit,CET6
latitude,纬度；黄纬,n,'lætɪtjuːd,'lætɪtud,bourn | circumscription,latitudinal,CET6
vitamin,维生素，维他命,n,'vɪtəmɪn; 'vaɪt-,'vaɪtəmɪn,thiamine hydrochloride,,CET6
Venus,维纳斯；美人,,'viːnəs,'vinəs,,,CET6
idealism,唯心主义；理想主义,n,aɪ'dɪəlɪz(ə)m; -'diːə-,'aɪ'diə'lɪzəm,mentalism,ideal | idealistic | idealized | ideally | ideal | idealist | ideality | idealization | idealisation | idealized | idealize | idealise | idealize | idealise,CET6
mast,桅杆,,mɑːst,mæst,,masted | masted,CET6
enclosure,围场，围栏；围绕,n,ɪn'kləʊʒə; en-,ɪn'kloʒɚ,attachment | attached sheet,enclosed | enclosed | enclose,CET6
violation,违犯；侵犯，妨碍,n,vaɪə'leɪʃn,",vaɪə'leʃən",intervention | prevention | infringement | breach,violable | violative | violator | violate,CET6
violate,违犯，违背；侵犯,vt,'vaɪəleɪt,'vaɪəlet,let | act against,violable | violative | violation | violence | violator,CET6
towards,用于，有助于,prep,tə'wɔːdz; twɔːdz; 'tɔːdz,tɔrdz,at | unto | for | on | to,,CET6
plead,为…辩护，抗辩,"vi, vt",pliːd,plid,excuse for | pray for | cry on,pleading | pleadingly | pleading | pleader | pleading,CET6
catalogue,为…编目录,n,'kæt(ə)lɒg,'kætəlɔɡ,directory | content | list,catalogued | cataloger | cataloguer | catalogued,CET6
microprocessor,微信息处理机,n,maɪkrə(ʊ)'prəʊsesə,",maɪkro'prosɛsɚ",Merced,,CET6
subtle,微妙的；精巧的,adj,'sʌt(ə)l,'sʌtl,sensitive | delicate | detailed | refined | designing,subtly | subtlety | subtilize | subtilize,CET6
atom,原子,,'ætəm,'ætəm,,atomic | atomistic | atomization | atomism | atomize | atomize | atomise,CET6
calculus,微积分；结石,n,'kælkjʊləs,'kælkjələs,stone | concrement,calculous | calculous,CET6
gleam,微光,"n, vi, vt",gliːm,ɡlim,glimmer | stroboflash | spark | coruscate | flicker,,CET6
negligible,微不足道的,adj,'neglɪdʒɪb(ə)l,'nɛɡlɪdʒəbl,bit | inappreciable,neglectful | neglect | neglect,CET6
microwave,微波,n,'maɪkrə(ʊ)weɪv,'maɪkrə'wev,wavelet,,CET6
awful,威严的；令人崇敬的,"adj, adv",'ɔːfʊl,'ɔfl,terrible | august | horrible | awesome | fearful | extremely | full | most | rare,awfully | awfulness,CET6
majesty,雄伟，威严，庄严；陛下,n,'mædʒɪstɪ,'mædʒəsti,authority | crown,majestic,CET6
prestige,威望，威信，声望,n,pre'stiː(d)ʒ,prɛ'stidʒ,reputation | credit,prestigious,CET6
endanger,危及，危害,vt,ɪn'deɪn(d)ʒə; en-,ɪn'dendʒɚ,jeopard | imperil,endangered | endangerment,CET6
crisis,危机；转折点,n,'kraɪsɪs,'kraɪsɪs,defining moment | critical stage,,CET6
peril,危机；危险的事物,"n, vt",'perɪl; -r(ə)l,'pɛrəl,risk | hazard | throw | venture | adventure | endanger | jeopard,perilous | perilously,CET6
dismiss,解雇，开除,"vi, vt",dɪs'mɪs,dɪs'mɪs,remove | fire out | disband | break up,dismissive | dismissible | dismissal | dismission,CET6
fro,往，去，回，向后,adv,frəʊ,fro,rear | aback,,CET6
mesh,网眼，筛孔，网络,"n, vt",meʃ,mɛʃ,web | trap | joggle,meshed | meshed,CET6
network,网络；广播网,n,'netwɜːk,'nɛtwɝk,net | meshwork,netted | netlike | netted,CET6
web,网，网状物,n,web,wɛb,net | cloth | mesh | trap,webbed | webby | weblike | webbing | webber | webbed,CET6
stubborn,顽固的；顽强的,adj,'stʌbən,'stʌbɚn,resistant | problem,stubbornly | stubbornness,CET6
trifle,玩忽；闲混；嬉耍,"n, vi, vt",'traɪf(ə)l,'traɪfl,cake | bit | fool | kid around | lose | spend | moon | fool away,trifling | trifling,CET6
completion,完成，结束，完满,n,kəm'pliːʃn,kəm'pliʃən,achievement | realization | implementation | execution | finish,complete | completed | completely | completeness | completed | complete,CET6
crooked,弯的，歪的；畸形的,adj,'krʊkɪd,'krʊkɪd,curve | winding | flexural,crookedly | crook | crookedness | crookneck | crook | crook,CET6
hull,外壳，豆荚；薄膜,"n, vt",hʌl,,crust | outer housing | unshell | decorticate,,CET6
diplomatic,外交的；有策略的,adj,dɪplə'mætɪk,",dɪplə'mætɪk",foreign | experienced,diplomatically | diplomat | diplomacy | diplomatist,CET6
alien,外国的,"adj, n, vt",'eɪlɪən,"ˈeliən,ˈeljən",foreign | external | foreigner | uitlander | transfer | negotiate,alienable | alienation | alienage | alienator | alienee | alienism | alienor | alienate,CET6
strange,陌生的，不熟悉的,"adj, adv",streɪn(d)ʒ,strendʒ,unknown | lay | queerly | anticly,strangely | stranger | strangeness,CET6
distort,歪曲，曲解；扭曲,"vi, vt",dɪ'stɔːt,dɪ'stɔrt,contort | misinterpret | become deformed | to morph,distorted | distortion | distorted,CET6
twist,歪曲，曲解,"n, vi, vt",twɪst,twɪst,screw | harry | distortion | strain | bend | double up,twisted | twisting | twisty | twisting | twisted | twisting,CET6
tile,瓷砖；贴砖；瓦片,n,taɪl,taɪl,glazed brick,tiled | tiling | tiler | tiling,CET6
watt,瓦（特）,,wɒt,wɑt,,wattage | wattmeter,CET6
elliptical,椭圆的；省略的,adj,ɪ'lɪptɪk(ə)l,ɪ'lɪptɪkl,oval | omissive,elliptic | ellipsoidal | ellipse | ellipsis | ellipsoid | ellipticity,CET6
haul,拖曳；拖运,"n, vi, vt",hɔːl,hɔl,pull | catch | drag | drag one's feet | draw | pull,haulage | hauler,CET6
hip,臀部，髋,n,hɪp,hɪp,bottom | croup,hipster | hipped | hipster | hipped,CET6
devour,吞食；吞灭，毁灭,vt,dɪ'vaʊə,dɪ'vaʊɚ,devastate | wrack and ruin,devourer,CET6
retirement,退休，引退；退隐,n,rɪ'taɪəm(ə)nt,rɪ'taɪɚmənt,superannuation,retired | retiring | retire | retiree | retired | retiring | retire | retire,CET6
drawback,妨碍；弊端,n,'drɔːbæk,'drɔbæk,defect | deficiency | disadvantage | vice | fault,,CET6
inference,推论；推断的结果,n,'ɪnf(ə)r(ə)ns,'ɪnfərəns,conclusion | reasoning | consequence,inferential | infer | infer,CET6
rational,合理的；适度的,adj,'ræʃ(ə)n(ə)l,'ræʃnəl,reasonable | logical | possible | just | legitimate,rationalistic | rationally | rationale | ration | rationality | rationalization | rationalism | rationalisation | rationalist | rationalize | ration | rationalize | rationalise,CET6
propulsion,推进，推进力,n,prə'pʌlʃ(ə)n,prə'pʌlʃən,drive | pulsion,propulsive,CET6
propel,推进，推动,vt,prə'pel,prə'pɛl,stimulate | power,propellant | propelling | propellent | propeller | propellant | propelling | propellent | propellor | propelling,CET6
recommendation,推荐，介绍；建议,n,",rekəmen'deɪʃ(ə)n",",rɛkəmɛn'deʃən",suggestion | advice | proposal | instance,recommend | recommend,CET6
overthrow,推翻,"n, vt",əʊvə'θrəʊ,",ovɚ'θro",capsizal | disintegration | floor | fell,overturned | overturned,CET6
impulse,冲动；推动,"n, vt",'ɪmpʌls,'ɪmpʌls,stimulus | pulse | incentive | excitement | needle | drive | force | impel,impulsive | impulsively | impulsiveness | impulsion,CET6
presumably,推测起来，大概,adv,prɪ'zjuːməblɪ,prɪ'zuməbli,probably | possibly | maybe,presumable | presumptive | presumption | presume | presume,CET6
gather,推测，推断,"n, vi, vt",'gæðə,'ɡæðɚ,crop | harvest | concentrate | collect | mass | crowd | collection | clustering,gathering | gatherer | gathering,CET6
shove,推，（使劲）推,"n, vt",ʃʌv,ʃʌv,squeeze | force one's way | push | jundy,,CET6
solidarity,团结；休戚相关,n,",sɒlɪ'dærɪtɪ",",sɑlɪ'dærəti",unity | consolidation,solid | solidified | solidly | solid | solidification | solidifying | solidified | solidifying | solidify | solidify,CET6
regiment,团，军团；一大群,n,'redʒɪm(ə)nt,'rɛdʒɪmənt,lots of | wealth | ocean | sea | mass,regimental | regimental | regimentation,CET6
bandit,土匪，盗匪，歹徒,n,'bændɪt,'bændɪt,tough | robber,banditry,CET6
lever,途径，工具，手段,n,'liːvə,'lɛvɚ,Control arm | heaver,leverage | leveraging | leveraging,CET6
overtake,突然发生；压倒,"vi, vt",əʊvə'teɪk,",ovɚ'tek",catch up with | to catch up | cut in,overtaking | overtaking,CET6
nose,突出部分（如船头等）,"n, vi, vt",nəʊz,noz,smell | boko | smell | snuff at | ask after,nosy | nosey | nosed | nosed,CET6
bald,秃头的；无毛的,adj,bɔːld,bɔld,flat | blank | naked,balding | baldy | baldness | baldy | balding,CET6
projector,投影仪；探照灯,n,prə'dʒektə,prə'dʒɛktɚ,projection apparatus | diascope,projecting | project | projection | projectionist | projecting | project | project,CET6
poll,投票,"adj, n, vi, vt",pəʊl,pol,vote | referendums | crop | cast one's vote | cast one's vote | ballot | hummel | hornless,politic,CET6
dizzy,头晕眼花的，眩晕的,"adj, vt",'dɪzɪ,'dɪzi,swimming | foolish | stupid | cloud | confuse,dizzily | dizziness,CET6
steal,偷偷地做，窃取,"n, vt",stiːl,stil,scrump | pick pocket | rip-off | cheapie,stolen | stealing | stealthily | stole | stealth | stealing | stealer | stole | stolen | stealing,CET6
misery,痛苦，悲惨，不幸,n,'mɪz(ə)rɪ,'mɪzəri,smart | disaster | hurt | evil | grief,,CET6
torment,痛苦,"n, vt",'tɔːment,'tɔrmɛnt,harry | pursue | worry | trouble | tear | smart | hurt,tormentor | tormenter,CET6
thrash,痛打，鞭打，打,"n, vi, vt",θræʃ,θræʃ,strike | beat upon | thresh | thresh,thrashing | thrasher | thrashing,CET6
dominant,统治的,adj,'dɒmɪnənt,'dɑmɪnənt,ruling | predominant,dominated | dominating | dominance | domination | dominated | dominating | dominate | dominate,CET6
dominate,统治，支配，控制,"vi, vt",'dɒmɪneɪt,'dɑmɪnet,possess | contain | regulate | bit | bottle | advantage over | prevail over,dominant | dominated | dominating | dominant | dominance | domination | dominion | dominated | dominating,CET6
statistics,统计，统计数字,n,stə'tɪstɪks,stə'tɪstɪks,correlations | numerical statement,statistic | statistical | statistically | statistic | statistician,CET6
even,平稳的，均匀的,"adj, adv, vi, vt",'iːv(ə)n,'ivən,flat | equivalent | equal | level | actually | really | too | effectively | yet | equate with | flatten out,evening | evenly | evening | evening | evenness,CET6
identical,同一的；恒等的,adj,aɪ'dentɪk(ə)l,aɪ'dɛntɪkl,self | same,identifiable | identically | identifiably | identity,CET6
likeness,同样；类似，相似,n,'laɪknɪs,'laɪknəs,photo | picture | image | air | conformity,like | like | likewise | like | like | like | like | like,CET6
simultaneous,同时的，同时存在的,adj,",sɪm(ə)l'teɪnɪəs",",saɪml'tenɪəs",synchronous | coinstantaneous,simultaneously | simultaneity | simulcast | simultaneousness | simulcast,CET6
accessory,同谋，帮凶,"adj, n",ək'ses(ə)rɪ,ək'sɛsəri,attachment | mating parts | deputy | vice | subsidiary | auxiliary,accessary | accessorial | accessary,CET6
homogeneous,同类的,adj,",hɒmə(ʊ)'dʒiːnɪəs; -'dʒen-",",homə'dʒinɪəs",conspecific,homogenized | homogeneously | homogeneity | homoeopathy | homogeneousness | homograft | homogenized | homogenize | homogenize | homogenise,CET6
coordinate,同等的,"adj, vi, vt",kəʊ'ɔ:dɪneɪt,ko'ɔrdɪnet,paratactic | tantamount | adjust | restructure | sort | concert,coordinated | coordinating | coordinative | coordination | coordinator | coordinating | coordinated,CET6
whilst,同时；然而,,waɪlst,hwailst,,,CET6
notify,通知，告知；报告,vt,'nəʊtɪfaɪ,'notə'fai,message | post | publish,notice | notification | notice | notice,CET6
advertise,登广告,vt,'ædvətaɪz,'ædvɚtaɪz,message | instruct,advertising | advertised | advertizing | advertisement | advertising | advert | advertiser | advertorial | advertizer | advertizing | advertising | advertizing | advert | advertised | advertize | advertize,CET6
correspondence,通信；相关；相似,n,kɒrɪ'spɒnd(ə)ns,",kɔrə'spɑndəns",accordance | communication | unity | agreement | identity,corresponding | correspondingly | correspondent | corresponding | correspond,CET6
popularity,通俗性；普及，流行,n,pɒpjʊ'lærətɪ,",pɑpju'lærəti",prevalence | diffusedness,pop | pop | popular | pop | popularly | pop | populace | popularization | popularisation | popularizer | pop | popularize | popularise | pop | popularize,CET6
inflation,通货膨胀，物价飞涨,n,ɪn'fleɪʃ(ə)n,ɪn'fleʃən,expansion | bulking,inflated | inflatable | inflationary | inflated | inflate | inflate,CET6
currency,通货；货币,n,'kʌr(ə)nsɪ,ˈkɜrənsi,money | circulating medium,,CET6
entry,入口，通道；条目,n,ˈɒntreɪ,'ɛntri,threshold | registration | access | portal,entryway,CET6
customary,通常的；照惯例的,adj,'kʌstəm(ə)rɪ,'kʌstə'mɛri,usual | used | common | accustomed,custom | customarily | custom,CET6
ordinarily,通常，大概,adv,"'ɔːd(ə),n(ə)rɪlɪ; ,ɔːdɪ'nerɪlɪ",",ɔrdn'ɛrəli",commonly | normally | currently | generally,ordinary | ordinary,CET6
hydrocarbon,烃，碳氢化合物,,",haɪdrə(ʊ)'kɑːb(ə)n",",haɪdrə'kɑrbən",,hydrated | hydrate | hydrocracking | hydrated | hydrocracking | hydrate | hydrate,CET6
resignation,听从，屈从，顺从,n,rezɪg'neɪʃ(ə)n,",rɛzɪɡ'neʃən",compliance | demission,resigned | resignedly | resign | resigned | resign | resign,CET6
blacksmith,铁匠，锻工,n,'blæksmɪθ,'blæksmɪθ,smith | ironsmith,,CET6
ferrous,铁的；亚铁的,adj,'ferəs,'fɛrəs,iron,ferric | ferrocyanide,CET6
adjoin,贴近，毗连；靠近,"vi, vt",ə'dʒɒɪn,ə'dʒɔɪn,abut upon | abut against | abut upon | neighbor,adjoining | adjoining,CET6
hop,（人）单足跳,"n, vi, vt",hɒp,hɑp,jump | clear | jump | ball | dance | spring | jump | dance,hoppy | hopper | hoppy,CET6
skip,蹦跳着走；跳绳；略过,"n, vi, vt",skɪp,skɪp,dance | to leap | jump | clear | jump | spring,,CET6
overlook,眺望；看漏；宽容,"n, vt",əʊvə'lʊk,",ovɚ'lʊk",forget | examine | survey | review | inspect | inobservancy | negligence,,CET6
regulate,调整，调节，校准,vt,'regjʊleɪt,'rɛɡjulet,possess | define | contain | manage | state,regulation | regulatory | regulative | regulation | regulator,CET6
modulate,调整，调节（声音）,vt,'mɒdjʊleɪt,'mɑdʒəlet,regulate | coordinate,modulated | modulation | modulated,CET6
settlement,调停；（尤指拓荒者居住的）定居点，村落,n,'set(ə)lm(ə)nt,'sɛtlmənt,transactions | disposal | resolution | treatment | handling,settled | settle | settler | settling | settled | settling | settle | settle,CET6
mischief,调皮，捣蛋，胡闹,n,'mɪstʃɪf,'mɪstʃɪf,harm | trick,,CET6
accord,符合；协议,"n, vi, vt",ə'kɔːd,ə'kɔrd,agreement | unity | identity | keeping | consensus | afford | allow | deal | extend | deliver | cotton | identify | square | meet with | correspond with,according | accordant | according | accordance,CET6
questionnaire,调查表，征求意见表,,ˌkwestʃəˈneə(r),ˌkwɛstʃənˈɛr,,,CET6
sweetness,甜蜜，芬芳；愉悦，美好,n,,'switnəs,aroma | balminess,sweet | sweetish | sweetly,CET6
dessert,甜点心,,dɪ'zɜːt,dɪ'zɝt,,,CET6
Catholic,天主教的,,,kæθəlɪk,,,CET6
astronomy,天文学,n,ə'strɒnəmɪ,ə'strɑnəmi,uranology,astronomical | astronomic | astronomically | astronomer | astronavigation,CET6
embody,体现；包含，收录,vt,ɪm'bɒdɪ; em-,ɪm'bɑdi,objectify | reify,embodiment,CET6
theme,题目；主题；主旋律；（句子的）主位；词干,n,θiːm,θim,topic | subject | titles | motive,thematic | thematically,CET6
nominate,提名，推荐；任命,vt,'nɒmɪneɪt,'nɑmɪnet,install | constitute | name | place | specify,nominated | nominative | nomination | nominee | nominative | nominator | nominated,CET6
finance,提供资金,"n, vi",faɪ'næns; fɪ-; 'faɪnæns,'faɪnæns,policy of tightening control over expenditure and credit | cameralistics | fund raising,financial | financially | financing | financier | financing | financier | financier,CET6
nourish,提供养分，养育,vt,'nʌrɪʃ,'nɜrɪʃ,harbor,nourishing | nourishment | nourishing,CET6
enhance,提高，增加；改进,vt,ɪn'hɑːns; -hæns; en-,ɪn'hæns,raise | cement | boost | muscle | gain,enhanced | enhancive | enhancement | enhancer | enhanced,CET6
elevate,提拔；抬高,vt,'elɪveɪt,'ɛlɪvet,promote | upgrade | prefer,elevated | elevation | elevator | elevated | elevated,CET6
purify,提纯，精炼（金属）,"vi, vt",'pjʊərɪfaɪ,'pjʊrɪfaɪ,cleanse | decontaminate | fine purification | purge,pure | purified | purgative | purely | purge | purity | purification | purifier | purist | purifying | pureness | purgative | purism | purified | purifying | purge | purge,CET6
raise,提出，发起，发出,"n, vi, vt",reɪz,rez,enhance | mother | foster | breed | arise | go up | climb | height | rise | altitude | elevation | upgrade,raised | raising | raised | raising,CET6
introduce,提出（议案等）,vt,ɪntrə'djuːs,ˌɪntrə'dus,present | recommend | prefer | file | advance,introductory | introduction,CET6
peculiarity,特性，独特性；怪癖,n,"pɪ,kjuːlɪ'ærɪtɪ",pɪ'kjʊlɪ'ærəti,quality | tang | identity | specific | character,peculiar | peculiarly | peculiar,CET6
individual,特殊的,"adj, n",ɪndɪ'vɪdjʊ(ə)l,",ɪndɪ'vɪdʒuəl",personal | different | subjective | distinct | unique | unity | private person,individualistic | individualized | individually | individualism | individualist | individualization | individualized | individualise | individualize | individuate,CET6
essential,极其重要的；必不可少的,"adj, n",ɪ'senʃ(ə)l,ɪ'sɛnʃl,elementary | fundamental | basic | necessary | primary | element | principle | entity | necessity | requirement | texture,essentially | essence | essentiality,CET6
bore,讨厌的人；麻烦事,"n, vi, vt",bɔː,bɔr,drill hole | counter sunk | drill hole | counter sunk | hole | aperture,boring | bored | boring | boredom | borer | boring | bored,CET6
earthenware,陶器,n,'ɜːθ(ə)nweə,'ɝθnwɛr,crockery | pottery ware,,CET6
flee,逃走，逃避,"vi, vt",fliː,fli,lift | disappear | blank | escape | desert,,CET6
outlaw,逃犯，歹徒,n,'aʊtlɔː,'aʊtlɔ,gangster | plug-ugly,outlawry,CET6
wade,趟（河），跋涉,"n, vi",weɪd,wed,trudge | slog,wading | wader | wading,CET6
probe,探针,"n, vi, vt",prəʊb,prob,investigation | research | examine | explore | burrow into,probing | probation | probing | probationer | probing,CET6
expedition,探险；探险队,n,ekspɪ'dɪʃ(ə)n,",ɛkspə'dɪʃən",velocity | speed,expedite | expeditious | expeditionary | expeditiously | expeditiousness | expedite,CET6
charcoal,炭，木炭；生物炭,n,'tʃɑːkəʊl,'tʃɑrkol,xylanthrax | wood coal,,CET6
plain,坦白的；普通的,"adj, adv, n",pleɪn,plen,simple | defined | plane | flatland | puszta | definitely | fair | expressly,plainly | plainness,CET6
negotiate,谈判，交涉，议定,"vi, vt",nɪ'gəʊʃɪeɪt,nɪ'ɡoʃɪet,transfer | surmount | transact,negotiable | negotiation | negotiator | negotiant,CET6
greed,贪心，贪婪,n,griːd,ɡrid,covetousness | avarice,greedy | greedily | greediness,CET6
moss,苔藓，地衣,n,mɒs,mɔs,mire,mossy | mosslike,CET6
pedal,（自行车的）踏脚，踏板，脚蹬；（汽车或机器的）踏板,"n, vi, vt",'ped(ə)l,'pɛdl,ride bike | footplate | treadboard | ride,,CET6
thereof,它的，其；由此,adv,ðeər'ɒv,",ðɛr'ʌv",wherein | among the rest,,CET6
trivial,琐碎的；平常的,adj,'trɪvɪəl,'trɪvɪəl,small | unimportant,trivially | triviality | trivialize,CET6
detail,琐碎，小事,"n, vt",'diːteɪl,'ditel,specific | minutia | expand on | enlarge on,detailed | detailing | detailed | detailing,CET6
concern,所关切的事；商行,"n, vt",kən'sɜːn,kən'sɝn,deal with | to relate to | relationship | connection | attention | consideration | bearing,concerned | concernedly | concerned,CET6
what,所…的,,wɒt,hwʌt; hwɑt; wʌt; wɑt,,,CET6
